Unit Serial No : 240-LV0P465-EU
Integration Time : 113 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   09:23:29

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
640.5000      	15612.8025    	1982.72729    
641.0000      	15600.6240    	1908.45459    
641.5000      	15588.4645    	1950.72729    
642.0000      	15576.3240    	1798.81824    
642.5000      	15564.2023    	1964.81824    
643.0000      	15552.0995    	1800.72729    
643.5000      	15540.0155    	1802.54541    
644.0000      	15527.9503    	1842.81824    
644.5000      	15515.9038    	1909.81824    
645.0000      	15503.8760    	1844.63635    
645.5000      	15491.8668    	1920.54541    
646.0000      	15479.8762    	1865.18176    
646.5000      	15467.9041    	1912.09094    
647.0000      	15455.9505    	1830.36365    
647.5000      	15444.0154    	1913.36365    
648.0000      	15432.0988    	1933.00000    
648.5000      	15420.2005    	1996.90906    
649.0000      	15408.3205    	1904.45459    
649.5000      	15396.4588    	1974.90906    
650.0000      	15384.6154    	1893.18176    
650.5000      	15372.7902    	1870.63635    
651.0000      	15360.9831    	1862.81824    
651.5000      	15349.1942    	1792.81824    
652.0000      	15337.4233    	2012.27271    
652.5000      	15325.6705    	1879.36365    
653.0000      	15313.9357    	1825.18176    
653.5000      	15302.2188    	1875.81824    
654.0000      	15290.5199    	1857.72729    
654.5000      	15278.8388    	1800.54541    
655.0000      	15267.1756    	1779.36365    
655.5000      	15255.5301    	1889.36365    
656.0000      	15243.9024    	1901.54541    
656.5000      	15232.2925    	1844.63635    
657.0000      	15220.7002    	1803.45459    
657.5000      	15209.1255    	2047.18176    
658.0000      	15197.5684    	1903.09094    
658.5000      	15186.0289    	1853.27271    
659.0000      	15174.5068    	1824.54541    
659.5000      	15163.0023    	1950.63635    
660.0000      	15151.5152    	1809.00000    
660.5000      	15140.0454    	1852.81824    
661.0000      	15128.5930    	1976.27271    
661.5000      	15117.1580    	2012.27271    
662.0000      	15105.7402    	1955.63635    
662.5000      	15094.3396    	2008.18176    
663.0000      	15082.9563    	1914.72729    
663.5000      	15071.5901    	1893.54541    
664.0000      	15060.2410    	1890.09094    
664.5000      	15048.9090    	1839.09094    
665.0000      	15037.5940    	1947.27271    
665.5000      	15026.2960    	1914.63635    
666.0000      	15015.0150    	1919.63635    
666.5000      	15003.7509    	1908.63635    
667.0000      	14992.5037    	1917.00000    
667.5000      	14981.2734    	1993.54541    
668.0000      	14970.0599    	1941.09094    
668.5000      	14958.8631    	1838.18176    
669.0000      	14947.6831    	1886.63635    
669.5000      	14936.5198    	1812.36365    
670.0000      	14925.3731    	1854.72729    
670.5000      	14914.2431    	1931.63635    
671.0000      	14903.1297    	1971.63635    
671.5000      	14892.0328    	1868.18176    
672.0000      	14880.9524    	1863.63635    
672.5000      	14869.8885    	1840.27271    
673.0000      	14858.8410    	1876.36365    
673.5000      	14847.8099    	1866.81824    
